;PC Software:PMManager Version 3.31 Build 2
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the PMManager Log reader from opening the file correctly. ********
;Logged:09/11/2023 at 14:52:32
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 02:00:00
;Log Settings:Sample:of period: 00:00:01
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:1919-R Photodiode 818-UV (s/n:21213)  NI1.37 (s/n:884305)

;Channel A:Details
;Name:818-UV
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:30.0nW
;Settings:Filter:OUT

;Channel A:Statistics
;Min:580.0pW             
;Max:590.0pW             
;Average:589.8pW             
;Std.Dev.:1.438pW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 09/11/2023 at 14:52:33.182968
  Timestamp   	  Channel A  	
       222.021	  5.900e-010 	
       223.021	  5.900e-010 	
       224.021	  5.900e-010 	
       225.021	  5.800e-010 	
       226.021	  5.900e-010 	
       227.020	  5.800e-010 	
       228.020	  5.800e-010 	
       229.020	  5.800e-010 	
       230.020	  5.800e-010 	
       231.019	  5.800e-010 	
       232.019	  5.800e-010 	
       233.019	  5.800e-010 	
       234.019	  5.800e-010 	
       235.019	  5.800e-010 	
       236.018	  5.800e-010 	
       237.018	  5.800e-010 	
       238.018	  5.800e-010 	
       239.018	  5.800e-010 	
       240.018	  5.800e-010 	
       241.017	  5.800e-010 	
       242.017	  5.800e-010 	
       243.017	  5.800e-010 	
       244.017	  5.800e-010 	
       245.017	  5.800e-010 	
       246.016	  5.800e-010 	
       247.016	  5.800e-010 	
       248.016	  5.800e-010 	
       249.016	  5.800e-010 	
       250.016	  5.800e-010 	
       251.015	  5.800e-010 	
       252.015	  5.800e-010 	
       253.015	  5.800e-010 	
       254.015	  5.800e-010 	
       255.015	  5.800e-010 	
       256.014	  5.800e-010 	
       257.014	  5.800e-010 	
       258.014	  5.800e-010 	
       259.014	  5.800e-010 	
       260.014	  5.800e-010 	
       261.013	  5.800e-010 	
       262.013	  5.800e-010 	
       263.013	  5.800e-010 	
       264.013	  5.800e-010 	
       265.013	  5.800e-010 	
       266.012	  5.800e-010 	
       267.012	  5.800e-010 	
       268.012	  5.800e-010 	
       269.012	  5.800e-010 	
       270.012	  5.800e-010 	
       271.011	  5.800e-010 	
       272.011	  5.800e-010 	
       273.011	  5.800e-010 	
       274.011	  5.800e-010 	
       275.011	  5.800e-010 	
       276.010	  5.800e-010 	
       277.010	  5.800e-010 	
       278.010	  5.800e-010 	
       279.010	  5.800e-010 	
       280.009	  5.800e-010 	
       281.009	  5.800e-010 	
       282.009	  5.800e-010 	
       283.009	  5.800e-010 	
       284.009	  5.800e-010 	
       285.008	  5.800e-010 	
       286.008	  5.800e-010 	
       287.008	  5.800e-010 	
       288.008	  5.800e-010 	
       289.008	  5.800e-010 	
       290.007	  5.800e-010 	
       291.007	  5.800e-010 	
       292.007	  5.800e-010 	
       293.007	  5.800e-010 	
       294.007	  5.800e-010 	
       295.006	  5.800e-010 	
       296.006	  5.800e-010 	
       297.006	  5.800e-010 	
       298.006	  5.800e-010 	
       299.006	  5.800e-010 	
       300.005	  5.800e-010 	
       301.005	  5.800e-010 	
       302.005	  5.800e-010 	
       303.005	  5.800e-010 	
       304.005	  5.800e-010 	
       305.004	  5.800e-010 	
       306.004	  5.800e-010 	
       307.004	  5.800e-010 	
       308.004	  5.800e-010 	
       309.004	  5.800e-010 	
       310.003	  5.800e-010 	
       311.003	  5.800e-010 	
       312.003	  5.800e-010 	
       313.003	  5.800e-010 	
       314.003	  5.800e-010 	
       315.002	  5.800e-010 	
       316.002	  5.800e-010 	
       317.002	  5.800e-010 	
       318.002	  5.800e-010 	
       319.002	  5.800e-010 	
       320.001	  5.800e-010 	
       321.001	  5.800e-010 	
       322.001	  5.800e-010 	
       323.001	  5.800e-010 	
       324.000	  5.800e-010 	
       325.000	  5.800e-010 	
       326.000	  5.800e-010 	
